FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2623,64949,Restauração do Píer de Atracação - Forte de São Lourenço,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,ITAPARICA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.679 -12.888),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2622,64950,Restauração da Igreja de São Lourenço,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,ITAPARICA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.679 -12.888),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2621,64951,Restauração da Antiga Casa de Câmara e Cadeia,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,MARAGOGIPE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.919 -12.778),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2620,64952,Restauração da Igreja Matriz de S. Bartolomeu,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,MARAGOGIPE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.919 -12.778),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-261f,64953,Restauração do Casarão da Filarmônica Terpcícore Popular,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,MARAGOGIPE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.919 -12.778),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-261e,64954,Restauração do Antigo Casarão da Filarmônica Dois de Julho - Implantação do Museu do Carnaval,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,MARAGOGIPE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.919 -12.778),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-261d,64955,Restauração do Casarão no Largo da Matriz- 41 - implantação do Memorial Osvaldo Sá,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,MARAGOGIPE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.919 -12.778),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-261c,64956,Restauração da antiga fábrica Trzan - implantação de Campus da UFRB,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.712 -12.547),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-261b,64957,Restauração da Igreja Matriz de Nossa senhora da Purificação,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.712 -12.547),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-261a,64958,Restauração da Antiga Casa de Câmara e Cadeia,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.712 -12.547),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2619,64959,Restauração do Mercado e requalificação da Feira - Bembé do Mercado,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.712 -12.547),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2618,64960,Restauração da Igreja do Rosário,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.712 -12.547),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2617,64961,Restauração do Arquivo Público,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.712 -12.547),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2616,64962,Restauração da Igreja do Amparo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.712 -12.547),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2615,64964,Restauração da Igreja de Nossa Senhora da Saúde e Glória,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2614,64965,Restauração da Catedral Basílica,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,,Em obras,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2613,64966,Restauração da Igreja da Ordem Terceira de São Domingos,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,,Em obras,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2612,64967,Requalificação urbanística do entorno do Portal da Misericórdia - Receptivo- acessibilidade e implantação de ascensor,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2611,64968,Restauração do edifício a Praca Castro Alves - implantação do Centro de Referência do Centro Antigo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Estado,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2610,64969,Requalificação do Teatro Gregório de Mattos,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-260f,64970,Restauração e implantação da biblioteca Anísio Teixeira,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-260e,64971,Restauração do Solar Berquó - IPHAN,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-260d,64972,Restauração do antigo Hotel Castro Alves - ampliação do Centro Cultural da Barroquinha,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-260c,64973,Restauração de Casarão na Ladeira da Barroquinha - implantação da Sede da Fundação Gregório de Matos,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-260b,64974,Restauração de edificação - biblioteca e arquivo e centro técnico do IPHAN,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-260a,64975,Restauração da Igreja do Corpo Santo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2609,64976,Restauração do Forte de São Marcelo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,,Em obras,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2608,64977,Restauração da Igreja e Cemitério de Nossa Senhora do Pilar,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2607,64979,Implantação de ligação entre o MAM/BA e o Forte da Gamboa,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2606,64980,Restauração do Forte de São Paulo da Gamboa  - implantação do Centro de Escoteiros do Mar,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2605,64981,Recuperação do Elevador do Taboão,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2604,64982,Recuperação do Plano Gonçalves e edf. Anexo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,,Em obras,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2603,64983,Requalificação das edificações localizadas nos arcos da Montanha,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2602,64984,Recuperação e requalificação das muralhas da encosta do Centro Histórico de Salvador,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2601,64985,Implantação de Plano Inclinado entre a Praça Castro Alves e a Conceição,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.511 -12.971),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2600,64986,Restauração do Teatro Francisca Clotilde,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,CE,ARACATI,--,,Em obras,30 de Junho de 2015,POINT (-37.77 -4.562),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ff,64987,Restauração do Mercado Público,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,ARACATI,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-37.77 -4.562),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25fe,64988,Restauração da Igreja de Nossa Senhora do Rosário dos Pretos,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,ARACATI,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-37.77 -4.562),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25fd,64989,Restauração da Igreja do Nosso Senhor do Bonfim,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,ARACATI,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-37.77 -4.562),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25fc,64990,Restauração do Museu Jaguaribano - etapa final,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,ARACATI,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-37.77 -4.562),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25fb,64991,Restauração do Complexo Ferroviário Dr. João Felipe - Casa do Patrimônio- Centro de Referência Documental da RFFSA- Centro de Referência da Arqueologia no Ceará e Superintendência do IPHAN,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,CE,FORTALEZA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.543 -3.717),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25fa,64992,Requalificação da Praça do Teatro José de Alencar,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,FORTALEZA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-38.543 -3.717),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25f9,64993,Requalificação da praça Samuel Pontes,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,,Em obras,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25f8,64994,Requalificação da praça Senador Figueira,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,,Em obras,30 de Junho de 2015,POINT (-40.239 -3.674),0
